Id,tights,dests,roads,timeLimits
1,0.1,18,BAY,363467
2,0.2,18,BAY,363467
3,0.3,18,BAY,363467
4,0.4,18,BAY,363467
5,0.5,18,BAY,363467
6,0.6,18,BAY,363467
7,0.7,18,BAY,363467
8,0.8,18,BAY,363467
9,0.1,567,BAY,940854
10,0.2,567,BAY,985742
11,0.3,567,BAY,1030631
12,0.4,567,BAY,1075519
13,0.5,567,BAY,1120407
14,0.6,567,BAY,1165295
15,0.7,567,BAY,1210183
16,0.8,567,BAY,1255072
17,0.1,17562,BAY,659231
18,0.2,17562,BAY,686792
19,0.3,17562,BAY,714352
20,0.4,17562,BAY,741913
21,0.5,17562,BAY,769473
22,0.6,17562,BAY,797033
23,0.7,17562,BAY,824594
24,0.8,17562,BAY,852154
25,0.1,160635,BAY,1190342
26,0.2,160635,BAY,1239199
27,0.3,160635,BAY,1288055
28,0.4,160635,BAY,1336912
29,0.5,160635,BAY,1385768
30,0.6,160635,BAY,1434624
31,0.7,160635,BAY,1483481
32,0.8,160635,BAY,1532337
33,0.1,321270,BAY,2505914
34,0.2,321270,BAY,2654506
35,0.3,321270,BAY,2803099
36,0.4,321270,BAY,2951691
37,0.5,321270,BAY,3100284
38,0.6,321270,BAY,3248877
39,0.7,321270,BAY,3397469
40,0.8,321270,BAY,3546062
41,0.1,18,NY,518461
42,0.2,18,NY,531334
43,0.3,18,NY,544208
44,0.4,18,NY,557081
45,0.5,18,NY,569955
46,0.6,18,NY,582828
47,0.7,18,NY,595702
48,0.8,18,NY,608575
49,0.1,514,NY,148503
50,0.2,514,NY,148503
51,0.3,514,NY,148503
52,0.4,514,NY,148503
53,0.5,514,NY,148503
54,0.6,514,NY,148503
55,0.7,514,NY,148503
56,0.8,514,NY,148503
57,0.1,14676,NY,943100
58,0.2,14676,NY,990231
59,0.3,14676,NY,1037362
60,0.4,14676,NY,1084493
61,0.5,14676,NY,1131624
62,0.6,14676,NY,1178754
63,0.7,14676,NY,1225885
64,0.8,14676,NY,1273016
65,0.1,132173,NY,1023676
66,0.2,132173,NY,1068561
67,0.3,132173,NY,1113445
68,0.4,132173,NY,1158330
69,0.5,132173,NY,1203214
70,0.6,132173,NY,1248098
71,0.7,132173,NY,1292983
72,0.8,132173,NY,1337867
73,0.1,264346,NY,752002
74,0.2,264346,NY,769735
75,0.3,264346,NY,787467
76,0.4,264346,NY,805200
77,0.5,264346,NY,822933
78,0.6,264346,NY,840666
79,0.7,264346,NY,858399
80,0.8,264346,NY,876131
81,0.1,19,COL,254277
82,0.2,19,COL,254277
83,0.3,19,COL,254277
84,0.4,19,COL,254277
85,0.5,19,COL,254277
86,0.6,19,COL,254277
87,0.7,19,COL,254277
88,0.8,19,COL,254277
89,0.1,660,COL,929500
90,0.2,660,COL,929500
91,0.3,660,COL,929500
92,0.4,660,COL,929500
93,0.5,660,COL,929500
94,0.6,660,COL,929500
95,0.7,660,COL,929500
96,0.8,660,COL,929500
97,0.1,23256,COL,2081224
98,0.2,23256,COL,2151792
99,0.3,23256,COL,2222359
100,0.4,23256,COL,2292927
101,0.5,23256,COL,2363495
102,0.6,23256,COL,2434063
103,0.7,23256,COL,2504631
104,0.8,23256,COL,2575198
105,0.1,217833,COL,1810565
106,0.2,217833,COL,1855072
107,0.3,217833,COL,1899580
108,0.4,217833,COL,1944087
109,0.5,217833,COL,1988594
110,0.6,217833,COL,2033101
111,0.7,217833,COL,2077608
112,0.8,217833,COL,2122116
113,0.1,435666,COL,8112527
114,0.2,435666,COL,8286547
115,0.3,435666,COL,8460568
116,0.4,435666,COL,8634589
117,0.5,435666,COL,8808610
118,0.6,435666,COL,8982630
119,0.7,435666,COL,9156651
120,0.8,435666,COL,9330672
121,0.1,20,FLA,778278
122,0.2,20,FLA,785215
123,0.3,20,FLA,792152
124,0.4,20,FLA,799089
125,0.5,20,FLA,806026
126,0.6,20,FLA,812962
127,0.7,20,FLA,819899
128,0.8,20,FLA,826836
